"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/26/2023","AQS","420010001","2","0.9","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/27/2023","AQS","420010001","2","0.7","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/28/2023","AQS","420010001","2","0.8","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/29/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/30/2023","AQS","420010001","2","1","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/31/2023","AQS","420010001","2","0.6","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/01/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/02/2023","AQS","420010001","2","1.4","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/03/2023","AQS","420010001","2","1.2","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/04/2023","AQS","420010001","2","1.7","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/05/2023","AQS","420010001","2","0.7","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
